Date,oil_price,change_oil_price,gdp,change_gdp,interest_rate,change_interest_rate,cpi,change_cpi_rate,unemployment_rate,change_unemployment_rate,stock,stock_price,monthly_return,volatility,industry
09-1983,26.08,0.192086055,3689.179,3.082863536,9.45,-8.341416101,100.4,0.2997003,9.2,-3.157894737,IBM,30.32385254,0.061715459,0.037659551,Technology & Communication Services
09-1983,26.08,0.192086055,3689.179,3.082863536,9.45,-8.341416101,100.4,0.2997003,9.2,-3.157894737,MMM,8.687813758850098,0.060606075,0.056755573,Industrials & Energy
09-1983,26.08,0.192086055,3689.179,3.082863536,9.45,-8.341416101,100.4,0.2997003,9.2,-3.157894737,WMT,0.4257810115814209,0.03809526,0.047966241,Consumer Discretionary & Consumer Staples
10-1983,26.04,-0.153374233,3794.706,2.860446728,9.48,-2.36869207,100.8,0.398406375,8.8,-4.347826087,IBM,30.29397773742676,-9.85E-04,0.038143812,Technology & Communication Services
10-1983,26.04,-0.153374233,3794.706,2.860446728,9.48,-2.36869207,100.8,0.398406375,8.8,-4.347826087,MMM,8.883778572,0.022556286,0.037380464,Industrials & Energy
10-1983,26.04,-0.153374233,3794.706,2.860446728,9.48,-2.36869207,100.8,0.398406375,8.8,-4.347826087,WMT,0.40885400772094727,-0.039755187,0.044912012,Consumer Discretionary & Consumer Staples
11-1983,26.09,0.192012289,3794.706,2.860446728,9.34,1.521739130434789,101.1,0.297619048,8.5,-3.409090909,IBM,28.053298950195312,-0.073964496,0.067904836,Technology & Communication Services
11-1983,26.09,0.192012289,3794.706,2.860446728,9.34,1.521739130434789,101.1,0.297619048,8.5,-3.409090909,MMM,8.949101448059082,0.007353051,0.027431154,Industrials & Energy
11-1983,26.09,0.192012289,3794.706,2.860446728,9.34,1.521739130434789,101.1,0.297619048,8.5,-3.409090909,WMT,0.4388020038604736,0.07324863,0.057830664,Consumer Discretionary & Consumer Staples
12-1983,25.88,-0.804906094,3794.706,2.860446728,9.47,5.810055865921803,101.4,0.296735905,8.3,-2.352941176,IBM,29.158700942993164,0.039403636,0.057459507,Technology & Communication Services
12-1983,25.88,-0.804906094,3794.706,2.860446728,9.47,5.810055865921803,101.4,0.296735905,8.3,-2.352941176,MMM,8.622491836547852,-0.036496358,0.030662474,Industrials & Energy
12-1983,25.88,-0.804906094,3794.706,2.860446728,9.47,5.810055865921803,101.4,0.296735905,8.3,-2.352941176,WMT,0.40625,-0.074183809,0.077127078,Consumer Discretionary & Consumer Staples
01-1984,25.93,0.193199382,3908.054,2.987003473,9.56,10.138248847926276,102.1,0.690335306,8,-3.614457831,IBM,27.27652931213379,-0.064549228,0.06291155,Technology & Communication Services
